"","sp","Hei_var","Seed_var","SLA_var","SLA_Index","SeedMass_Index","Hei_Index","combined.index","CentredRangeLog","gf","Family","Genus","LeafPhenology","DispersalMode","range_cat","category.abs"
"1","Andromeda polifolia",0.658322218164041,0.355553294931287,0.19229851252451,1,0.496666666666667,1,0.832222222222222,0.733338406038317,"Tall shrub","Ericaceae","Andromeda","Evergreen","Wind","large","Loser"
"2","Arctostaphylos uva-ursi",0.401064072924243,0.239613198076573,0.242732808499934,1,1,1,1,0.41507564464195,"Dwarf shrub","Ericaceae","Arctostaphylos","Evergreen","Berry","medium","Loser"
"3","Arctous alpina",0.426266330807547,0.750452989091127,0.248493026998255,1,0.696666666666667,1,0.898888888888889,0.540504713580063,"Low shrub","Ericaceae","Arctous","Deciduous","Berry","medium","Winner"
"4","Arctous rubra",0.383230973662659,0.316247897003168,0.124466501821947,1,1,1,1,0.59162108083548,"Dwarf shrub","Ericaceae","Arctous","Deciduous","Berry","medium","Winner"
"5","Betula glandulosa",0.660680793822457,0.99354117270689,0.240024100411538,1,0.5,1,0.833333333333333,0.329593945473231,"Tall shrub","Betulaceae","Betula","Deciduous","Wind","medium","Loser"
"6","Betula humilis",0.501032582029084,0.99354117270689,1.5337108535996e-11,0.496666666666667,0.5,1,0.665555555555556,-0.350084888342789,"Tall shrub","Betulaceae","Betula","Deciduous","Wind","medium","Loser"
"7","Betula nana",0.711726956461746,0.673663673544699,0.189023711925796,1,0.763333333333333,1,0.921111111111111,0.582859742267889,"Tall shrub","Betulaceae","Betula","Deciduous","Wind","medium","No change"
"8","Calluna vulgaris",0.592280608271237,0.15256057103363,0.444822753927327,1,1,1,1,-0.251339583588749,"Tall shrub","Ericaceae","Calluna","Evergreen","Wind","medium","No change"
"9","Cassiope tetragona",0.45194486015737,4.45214278680522,0.762685399212634,1,1,1,1,0.157301680659998,"Low shrub","Ericaceae","Cassiope","Evergreen","Wind","medium","Winner"
"10","Dryas integrifolia",0.393549601102836,1.24494271212706,0.259737858378612,1,1,1,1,0.12702562621473,"Dwarf shrub","Rosaceae","Dryas","Evergreen","Wind","medium","Loser"
"11","Dryas octopetala",0.492923923105723,0.62886000140102,0.336953998516553,1,1,1,1,0.561214578093587,"Dwarf shrub","Rosaceae","Dryas","Evergreen","Wind","medium","Loser"
"12","Empetrum nigrum",0.676450817814612,0.284929995935604,0.35324826592207,1,0.863333333333333,1,0.954444444444444,1.04730037046085,"Low shrub","Empetraceae","Empetrum","Evergreen","Berry","large","No change"
"13","Linnaea borealis",0.651994017069347,0.171464025709332,0.319187472515082,1,0.496666666666667,1,0.832222222222222,0.989878914565864,"Dwarf shrub","Caprifoliaceae","Linnaea","Evergreen","Wind","large","Loser"
"14","Loiseleuria procumbens",0.940621506872755,0.242635521466679,0.156237911974288,1,1,1,1,0.084406136810756,"Low shrub","Ericaceae","Loiseleuria","Evergreen","Wind","medium","Loser"
"15","Myrica gale",0.519057785821294,0.376507352240069,0.389668534308893,0.63,0.63,0.63,0.63,-0.0104003790341132,"Tall shrub","Myricaceae","Myrica","Deciduous","Wind","medium","Winner"
"16","Phyllodoce caerulea",0.54455334867606,2.65805668756161,0.293983498200035,1,0.896666666666667,1,0.965555555555556,0.254593676112423,"Dwarf shrub","Ericaceae","Phyllodoce","Evergreen","Wind","medium","Winner"
"17","Rubus idaeus",0.658332380235198,0.247048953610459,0.36381137484409,1,0.763333333333333,1,0.921111111111111,0.799098180365643,"Tall shrub","Rosaceae","Rubus","Deciduous","Berry","large","Winner"
"18","Salix arctica",0.685432620817069,0.216732286201255,0.174262189857324,1,0.93,1,0.976666666666667,-0.0796851559846896,"Low shrub","Salicaceae","Salix","Deciduous","Wind","medium","Loser"
"19","Salix glauca",0.628085761935509,0.252399676302139,0.135622775009169,1,0.563333333333333,1,0.854444444444444,-0.0127822199950689,"Tall shrub","Salicaceae","Salix","Deciduous","Wind","medium","No change"
"20","Salix hastata",1.04602608435217,1.16152528926273,0.108194535718546,1,0.5,1,0.833333333333333,0.300478280170253,"Tall shrub","Salicaceae","Salix","Deciduous","Wind","medium","Winner"
"21","Salix herbacea",0.553033480588639,0.904724166949971,0.206889904659472,1,0.963333333333333,1,0.987777777777778,-0.25553090836898,"Dwarf shrub","Salicaceae","Salix","Deciduous","Wind","medium","Loser"
"22","Salix lanata",0.972132612328015,1.16152528926273,0.267892556168316,1,0.5,1,0.833333333333333,-0.105792283779573,"Tall shrub","Salicaceae","Salix","Deciduous","Wind","medium","Winner"
"23","Salix lapponum",0.508242921082459,1.16152528926273,0.189349356796049,1,0.5,1,0.833333333333333,0.0824716923601265,"Tall shrub","Salicaceae","Salix","Deciduous","Wind","medium","Winner"
