sp,Dataset,ObservationID,ObsDataID,ValueKindName,StdValue,Lat,Lon,DataContributor,TraitShort,Source,Treatment,Genus,nobs,filt,gf,rel.quan25,rel.median,rel.quan75,abs.quan25,abs.median,abs.quan75,future.med,rel.quan25.log,rel.median.log,rel.quan75.log,abs.quan25.log,abs.median.log,abs.quan75.log,CentredRangeLog,cent.rel.quan25.log,cent.rel.median.log,cent.rel.quan75.log,cent.abs.quan25.log,cent.abs.median.log,cent.abs.quan75.log,range_cat,Family,LeafPhenology,DispersalMode,GapMedian,GapSD
Betula glandulosa,Gap-filled,TTT_18206,TTT_18206,Gap-filled,NA,56.535638,-61.715571,Gap-filled,SeedMass,Gap-filled,none,Betula,NA,max_dipersal,Tall shrub,1.82834,1.895885,1.93744,11.203,11.72555,12.047,6930850,0.603408451,0.639685748,0.661367514,2.4161816,2.461770222,2.488815666,0.329593945,-0.059917446,-0.079891078,-0.112568854,-0.098333935,-0.115645217,-0.143402318,medium,Betulaceae,Deciduous,Wind,-2.211424315,0.993541173
Betula humilis,Gap-filled,TTT_21086,TTT_21086,Gap-filled,NA,54.55394444,58.88894444,Gap-filled,SeedMass,Gap-filled,none,Betula,NA,max_dipersal,Tall shrub,1.205265,1.46368,1.8678175,9.41515,10.4283,12.01275,1817900,0.18669946,0.380953812,0.624770637,2.242320094,2.344523264,2.485968586,-0.350084888,-0.476626438,-0.338623013,-0.149165731,-0.272195441,-0.232892174,-0.146249398,medium,Betulaceae,Deciduous,Wind,-2.211424315,0.993541173
Salix hastata,Gap-filled,4391643,47876665,Gap-filled,NA,45.03,6.39,Gap-filled,SeedMass,Gap-filled,NA,Salix,NA,max_dipersal,Tall shrub,2.408145,2.44316,2.4544525,15.597925,15.86105,15.9459,10844350,0.878856742,0.893292283,0.897903722,2.747137893,2.763866418,2.769201743,0.30047828,0.215530844,0.173715457,0.123967354,0.232622358,0.18645098,0.136983759,medium,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix lanata,Gap-filled,TTT_10332,TTT_10332,Gap-filled,NA,68.37111,18.6586,Gap-filled,SeedMass,Gap-filled,none,Salix,NA,max_dipersal,Tall shrub,2.349205,2.34965,2.35023,14.278925,14.28115,14.2841,6755650,0.854076973,0.854266381,0.854513196,2.658784674,2.658940486,2.659147031,-0.105792284,0.190751075,0.134689555,0.080576827,0.144269139,0.081525048,0.026929047,medium,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix lapponum,Gap-filled,TTT_21078,TTT_21078,Gap-filled,NA,61.495,7.873333333,Gap-filled,SeedMass,Gap-filled,none,Salix,NA,max_dipersal,Tall shrub,2.0792075,2.089625,2.0902425,13.009625,13.07255,13.076275,6583950,0.731986811,0.736984624,0.737280088,2.565689468,2.570514612,2.57079952,0.082471692,0.068660914,0.017407798,-0.036656281,0.051173933,-0.006900826,-0.061418464,medium,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix niphoclada,Gap-filled,TTT_21164,TTT_21164,Gap-filled,NA,61.10549,-138.6618,Gap-filled,SeedMass,Gap-filled,none,Salix,NA,max_dipersal,Tall shrub,2.5000375,2.50194,2.5027275,13.73155,13.7361,13.738,3606000,0.916305732,0.917066431,0.917381137,2.619696105,2.620027404,2.620165716,-0.840485925,0.252979834,0.197489605,0.143444769,0.10518057,0.042611966,-0.012052268,small,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix phlebophylla,Gap-filled,TTT_21854,TTT_21854,Gap-filled,NA,69.57536,-138.86479,Gap-filled,SeedMass,Gap-filled,None,Salix,NA,max_dipersal,Dwarf shrub,2.1048225,2.105635,2.1060475,12.8071,12.80925,12.810325,2912250,0.744231141,0.744617084,0.744812968,2.549999705,2.550167566,2.550251486,-0.747825988,0.080905243,0.025040258,-0.0291234,0.03548417,-0.027247872,-0.081966498,small,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix phylicifolia,Gap-filled,1597014,11037507,Gap-filled,NA,NA,NA,Gap-filled,SeedMass,Gap-filled,NA,Salix,NA,max_dipersal,Tall shrub,2.40673,2.411555,2.4133975,16.003725,16.0449,16.06065,12052000,0.87826898,0.880271768,0.881035506,2.772821508,2.775391042,2.776372181,0.428208909,0.214943082,0.160694942,0.107099137,0.258305973,0.197975604,0.144154197,medium,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix pulchra,Gap-filled,2670591,23713702,Gap-filled,NA,71.28,-156.65,Gap-filled,SeedMass,Gap-filled,NA,Salix,NA,max_dipersal,Tall shrub,1.3233475,1.498585,1.6111425,8.772075,9.74555,10.370825,2769750,0.280164511,0.40452133,0.476943555,2.17157338,2.276810771,2.338996575,-0.001595166,-0.383161387,-0.315055496,-0.296992814,-0.342942155,-0.300604668,-0.293221408,medium,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
Salix rotundifolia,Gap-filled,TTT_11593,TTT_11593,Gap-filled,NA,71.29,-156.64,Gap-filled,SeedMass,Gap-filled,control,Salix,NA,max_dipersal,Dwarf shrub,1.6662025,1.69642,1.780125,11.6157,11.69855,11.928075,1909650,0.510547085,0.528520148,0.576683587,2.452357631,2.459464902,2.478894865,-0.707605541,-0.152778813,-0.191056678,-0.197252782,-0.062157904,-0.117950536,-0.153323119,small,Salicaceae,Deciduous,Wind,-1.519286813,1.161525289
