"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"1","Andromeda polifolia","PlantHeight",35,11,0.065,-2.7333680090865,0.0835693945022877,0.658322218164041,0.883931341063786,-0.252141750308056,-0.123375887840726,5,4,0.09,-2.40794560865187,0.147817454990945,0.981437134483289,0.923859093693405,-0.447492542088798,-0.0791957149719587
"2","Arctostaphylos uva-ursi","PlantHeight",48,3,0.155,-1.8648507243171,0.0519843428078409,0.401064072924243,0.343367064094725,-0.204892224665022,-1.06895524631619,5,3,0.11,-2.20727491318972,0.0475057891209061,0.410285917328247,0.393912015927911,-0.188126188749529,-0.931627704449192
"3","Arctous alpina","PlantHeight",76,13,0.04,-3.2188758248682,0.0278873045378352,0.426266330807547,0.597023984471965,-0.134597789205103,-0.515797991401612,5,4,0.04,-3.2188758248682,0.00836660026534076,0.210544504010981,0.199204768222399,-0.0660603315430036,-1.61342199725869
"4","Arctous rubra","PlantHeight",34,6,0.0495,-3.00624195716603,0.0304481090386336,0.383230973662659,0.515555631132242,-0.131574908034726,-0.662510064505355,5,3,0.043,-3.14655516328857,0.00516720427310552,0.110941271375757,0.116905074052161,-0.0355111085624632,-2.14639300638055
"5","Artemisia dracunculus","PlantHeight",21,3,0.62,-0.478035800943,0.115606063442892,0.166149178151062,0.176177600312099,-0.382015950035433,-1.73626270005337,5,1,0.6,-0.510825623765991,0.0207364413533277,0.0348973282763259,0.0347926868344425,-0.0673692597203306,-3.35834806272154
"6","Betula glandulosa","PlantHeight",1017,55,0.28,-1.27296567581289,0.227993555472932,0.660680793822457,0.641510406664321,-0.532737882873512,-0.443929872666257,5,4,0.25,-1.38629436111989,0.386781592116274,0.868836491415905,0.920908552657796,-0.737505730403013,-0.082394539016157
"7","Betula humilis","PlantHeight",29,29,0.3,-1.20397280432594,0.295086478098625,0.501032582029084,0.781936025663389,-0.441532017010168,-0.245982350397926,5,5,0.317,-1.14885350510486,0.0624019230472908,0.230967512320868,0.209402426333191,-0.187683976777996,-1.56349739353933
"8","Betula nana","PlantHeight",644,114,0.14,-1.96611285637283,0.15709397495526,0.711726956461746,0.824237179377782,-0.371170729254094,-0.193296951439671,5,4,0.32,-1.13943428318836,0.148286209743185,0.710240068947596,0.565115128594457,-0.470054047357064,-0.57072580116964
"9","Calluna vulgaris","PlantHeight",196,19,0.13,-2.04022082852655,0.146502382451075,0.592280608271237,0.888030522975433,-0.293605624119734,-0.118749163860614,5,4,0.18,-1.71479842809193,0.294991525301999,0.851759092062872,1.06112059461151,-0.526393638121125,0.0593255144466984
"10","Cassiope tetragona","PlantHeight",290,26,0.084,-2.47693848013882,0.0305550569007386,0.45194486015737,0.370132268221144,-0.17528715094215,-0.99389485554645,5,3,0.089,-2.41911890925,0.0231840462387393,0.263664464362365,0.269581933008596,-0.106248645150409,-1.3108829162526
