"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"1","Andromeda polifolia","SeedMass",5,1,0.166,-1.79576749062559,0.0708259309857626,0.355553294931287,0.404142259547861,-0.197902676950498,-0.905988335409644,5,1,0.166,-1.79576749062559,0.0708259309857626,0.355553294931287,0.404142259547861,-0.197902676950498,-0.905988335409644
"2","Arctostaphylos uva-ursi","SeedMass",20,2,8.7,2.16330651065666,2.53673017879316,0.239613198076573,0.2588500182442,0.106316680343339,-1.35150646515248,5,2,8.3,2.11625551480255,1.36088206689632,0.145364912337809,0.152394408387046,0.0666599483627067,-1.88128332677641
"3","Arctous alpina","SeedMass",11,2,3.3,1.19392246847243,1.0933642826366,0.750452989091127,0.373625570332483,0.815443649523317,-0.984501131895471,5,2,2.6,0.955511445027436,1.4380264253483,1.06703129403152,0.58031736293313,1.74687297534044,-0.544180147617764
"4","Arctous rubra","SeedMass",22,4,2.6,0.955511445027436,0.778999247008511,0.316247897003168,0.291462303302504,0.336824150553786,-1.23284460127107,5,2,3.6,1.28093384546206,0.66932802122726,0.198313852434937,0.18907571221109,0.158790678412749,-1.66560775042926
"5","Betula nana","SeedMass",13,5,0.199666667,-1.61110596786535,0.179425995976605,0.673663673544699,0.779244303065601,-0.398359436781843,-0.249430671153072,5,3,0.213,-1.54646311327271,0.054621627762677,0.352084909514147,0.283601390252736,-0.20832329597741,-1.26018558217562
"6","Calluna vulgaris","SeedMass",23,6,0.032,-3.44201937618241,0.00582993501614642,0.15256057103363,0.169090170707904,-0.045145328482558,-1.77732315186401,5,1,0.034,-3.38139475436598,0.00414728827066554,0.112715477589103,0.115846041080043,-0.0337979133879773,-2.15549320149695
"7","Cassiope tetragona","SeedMass",32,4,2.34e-05,-10.6635147281858,0.408642472613139,4.45214278680522,4.20973956558229,-0.524821416801695,1.43740078487401,5,3,2.22e-05,-10.715418269086,0.0395035726886212,4.834991095346,2.01492648471713,-0.553171754704445,0.700582710721739
"8","Dryas integrifolia","SeedMass",42,5,0.206060606,-1.58001766270835,0.0878209972471026,2.98106086774047,0.406473692647749,-1.46142786732591,-0.900236068822195,5,2,0.22,-1.51412773262978,0.056577271533041,0.272541031101583,0.256650929385096,-0.176919126285959,-1.36003836876635
"9","Dryas octopetala","SeedMass",59,5,0.316333333,-1.15095877009406,0.366543087631873,0.62886000140102,0.82982395806417,-0.605715875682749,-0.186541699405475,5,3,0.3,-1.20397280432594,0.36570370520409,0.752716359536086,0.74209355763817,-0.804616910484607,-0.298279955302093
"10","Empetrum nigrum","SeedMass",16,7,0.97,-0.0304592074847086,0.277289245148577,0.284929995935604,0.267659093990469,-287.554032617658,-1.31804114554653,5,5,0.97,-0.0304592074847086,0.234485725661026,0.200950667774756,0.212460639391594,2.45454379011185,-1.54899853416669
"11","Linnaea borealis","SeedMass",5,2,1.15,0.139761942375159,0.1764086165696,0.171464025709332,0.166737822844612,3.82487508304442,-1.79133262327208,5,2,1.15,0.139761942375159,0.1764086165696,0.171464025709332,0.166737822844612,3.82487508304442,-1.79133262327208
