"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"1","Andromeda glaucophylla","SLA",10,4,7.5757576,2.02495335959577,1.72406317995503,0.299986537577186,0.276216095757949,0.167331165326162,-1.28657176397012,5,3,7.5757576,2.02495335959577,1.49244942239734,0.259712439321302,0.216036711419762,0.136060124174709,-1.53230692546291
"2","Andromeda polifolia","SLA",47,13,7.518421053,2.01735614955934,1.3055795355188,0.19229851252451,0.184846047626066,0.0992596304425587,-1.68823197534788,5,5,7.5987841945,2.02798826008712,1.0224737541577,0.152611258548711,0.146917995685611,0.0790315973401645,-1.91788070033983
"3","Arctostaphylos uva-ursi","SLA",40,2,4.88,1.58493521876996,1.27462724566228,0.242732808499934,0.250344151166116,0.151856294471176,-1.38491870310695,5,2,5.56,1.71559810826249,1.39083428200487,0.255201897834548,0.248451997499977,0.150388391961805,-1.39250562111917
"4","Arctous alpina","SLA",82,19,11.7475417291301,2.46364400415963,3.24372157266967,0.248493026998255,0.259682608462005,0.0996460312504846,-1.34829513035717,5,4,14.645525936,2.68413489195989,3.22657469438101,0.241876688072076,0.235797428635086,0.0932733726117145,-1.44478219579377
"5","Arctous rubra","SLA",28,5,12.772011485,2.54725596112504,1.57800094932206,0.124466501821947,0.122900964054428,0.0489033536818406,-2.09637641822262,5,3,11.91666667,2.47793798075163,2.32124204755867,0.192508140902149,0.188842958898771,0.0771779004486039,-1.66683951461315
"6","Artemisia dracunculus","SLA",41,3,15.5,2.7408400239252,3.74769968981011,0.202603178112032,0.224873680888991,0.0725678400821824,-1.49221645270312,5,2,15.677389706,2.75221952823249,1.35171164712779,0.0939854815862212,0.0889327223094102,0.0345809364028513,-2.41987512421622
"7","Artemisia frigida","SLA",105,26,16,2.77258872223978,4.15138252733965,0.275407646971036,0.258528605132041,0.100485611981206,-1.35274893300478,5,4,20.32568797,3.01188550332351,5.51417063561554,0.325983598962686,0.306745508416734,0.114454435452517,-1.18173683798655
"8","Artemisia gmelinii","SLA",32,17,17.8570714285715,2.88239958823099,7.46293358238168,0.461128933076152,0.408935995523903,0.16404135951677,-0.894196625346805,5,5,20.833,3.03653826794624,1.77767945542232,0.0901638977120531,0.0890876249425838,0.0301529579827856,-2.41813484368471
"9","Betula glandulosa","SLA",50,8,12.696564575,2.54132974745856,3.12090557034165,0.240024100411538,0.238683039981892,0.0943934610171199,-1.43261879976661,5,4,12.78250837,2.54807770277329,1.71861066324752,0.125768882662837,0.127107451102264,0.0484123468248035,-2.06272247856906
"10","Betula humilis","SLA",5,2,12.3456790123457,2.5133061243097,1.89347883792532e-10,1.5337108535996e-11,1.53371785873669e-11,6.10236388942745e-12,-24.90074126211,5,2,12.3456790123457,2.5133061243097,1.89347883792532e-10,1.5337108535996e-11,1.53371785873669e-11,6.10236388942745e-12,-24.90074126211
