"","LowerQuantile","MeanSlope","UpperQuantile","Name","CoverCategory"
"1",-0.0761489423810977,0.00440751819823261,0.0696664942397008,"Andromeda polifolia","No change"
"2",-0.913666510529207,-0.541269214814301,-0.244183910499668,"Arctostaphylos uva-ursi","Loser"
"3",-0.0293469217859762,0.0490634549000644,0.131332221261678,"Arctous alpina","No change"
"4",-0.12505980346922,-0.0135248919330292,0.091765832373426,"Arctous rubra","No change"
"5",-0.239432081501703,-0.116289184584399,-0.00256155713625422,"Betula glandulosa","Loser"
"6",0.0104732934417588,0.0343957725401802,0.0590387924893447,"Betula nana","Winner"
"7",0.0548907819918956,0.103036839469704,0.150555680908488,"Calluna vulgaris","Winner"
"8",-0.086671642140147,-0.0390729780443429,-0.000795126074580712,"Cassiope tetragona","Loser"
"9",-0.273093804491182,-0.0365471537492739,0.189308301764237,"Dasiphora fruticosa","No change"
"10",-0.0357203875525485,0.0285505981750601,0.093152292741526,"Diapensia lapponica","No change"
"11",-0.032857856589556,0.0152671559406424,0.0634032247958432,"Dryas integrifolia","No change"
"12",-1.44965918714505,-0.868501759712054,-0.29609676278413,"Dryas octopetala","Loser"
"13",0.0496097350481428,0.0674055264167665,0.0866592395643435,"Empetrum nigrum","Winner"
"14",-0.174576649407124,-0.108141319529171,-0.0474293243337657,"Harrimanella hypnoides","Loser"
"15",-0.0287175645910019,0.0155098370145173,0.0569592955866056,"Ledum palustre","No change"
"16",-0.0201470041395088,0.053642796106118,0.124828674370388,"Loiseleuria procumbens","No change"
"17",-0.0248371942267479,0.000376208627107136,0.0246603557339828,"Phyllodoce caerulea","No change"
"18",-0.121003382623557,-0.0115991298569702,0.0941591806256367,"Rhododendron lapponicum","No change"
"19",-0.0767244412233103,0.00286806945542274,0.0861983652443424,"Rubus chamaemorus","No change"
"20",-0.0145968224938622,0.0311667256740887,0.0844205379168585,"Salix arctica","No change"
"21",-0.186808610143082,-0.115076974621011,-0.046708241295256,"Salix glauca","Loser"
"22",-0.145041672733585,0.0347875836922846,0.218530252267768,"Salix hastata","No change"
"23",-0.0854496004034576,-0.0444524329842046,-0.00705117942173077,"Salix herbacea","Loser"
"24",0.0545039142280676,0.170518516788121,0.311747594381664,"Salix lanata","Winner"
"25",-0.140514810302667,0.022748828802223,0.184020825556427,"Salix niphoclada","No change"
"26",-0.0359464037615623,0.0073858470406474,0.0554019293951127,"Salix phlebophylla","No change"
"27",0.149482400771484,0.215552007133774,0.28797021687133,"Salix phylicifolia","Winner"
"28",-1.06290470447074,-0.486414224892222,-0.206998087667181,"Salix polaris","Loser"
"29",-0.0529064598226953,0.00918778552570639,0.0634463836447013,"Salix pulchra","No change"
"30",0.0270457211621637,0.070521109522106,0.117182784574709,"Salix reticulata","Winner"
"31",-0.0151333210004289,0.0430044557723427,0.11989297842583,"Salix rotundifolia","No change"
"32",0.00548352274720084,0.0887204962605052,0.20155311979693,"Sibbaldia procumbens","Winner"
"33",-0.00653392054779834,0.0692192866271188,0.173633007407983,"Thymus praecox","No change"
"34",0.0172744365353163,0.0367564642773703,0.0616737403793018,"Vaccinium myrtillus","Winner"
"35",-0.0205406724990206,0.0260808041806505,0.0695999273062654,"Vaccinium uliginosum","No change"
"36",0.0273240153992775,0.046025423816657,0.064394532976593,"Vaccinium vitis-idaea","Winner"
