,sp,gf,rel.quan25,rel.median,rel.quan75,abs.quan25,abs.median,abs.quan75,future.med,rel.quan25.log,rel.median.log,rel.quan75.log,abs.quan25.log,abs.median.log,abs.quan75.log,CentredRangeLog,cent.rel.quan25.log,cent.rel.median.log,cent.rel.quan75.log,cent.abs.quan25.log,cent.abs.median.log,cent.abs.quan75.log,AbsoluteRangeChangeKm
1,Andromeda polifolia,Low shrub,1.9364225,1.983635,1.99984,11.7945,12.3414,12.52915,11394900,0.660842199,0.68493102,0.693067177,2.467633321,2.512959464,2.528057929,0.733338406,-0.002483699,-0.034645806,-0.080869191,-0.046882214,-0.064455974,-0.104160055,-6200
2,Calluna vulgaris,Tall shrub,1.9318525,2.11876,2.4945225,12.236075,13.04495,14.671025,4841450,0.658479387,0.750831012,0.914097328,2.504388556,2.568401086,2.68587446,-0.251339584,-0.004846511,0.031254186,0.14016096,-0.010126979,-0.009014352,0.053656476,11900
3,Ribes glandulosum,Tall shrub,1.33158,1.38835,1.4501575,9.017475,9.31585,9.64075,2041350,0.286366207,0.328115992,0.371672171,2.199164361,2.231717251,2.265998906,-0.056864186,-0.376959691,-0.391460834,-0.402264197,-0.315351174,-0.345698188,-0.366219078,-2909100
4,Ribes nigrum,Tall shrub,2.62956,2.72157,2.7827875,19.30265,20.29235,20.950775,18517550,0.966816532,1.00120892,1.023453123,2.960242392,3.010243968,3.042175639,0.659152741,0.303490634,0.281632094,0.249516755,0.445726857,0.43282853,0.409957655,6690900
5,Cornus sericea,Tall shrub,1.06076,1.07932,1.156855,7.55715,7.65545,8.066025,420050,0.058985632,0.076331213,0.145705116,2.022494135,2.035417812,2.087660796,-0.049453305,-0.604340266,-0.643245613,-0.628231252,-0.4920214,-0.541997626,-0.544557188,-4871300
6,Andromeda glaucophylla,Tall shrub,3.020675,3.414375,3.705835,13.00245,13.1843,13.318925,1115200,1.105480316,1.22799446,1.309908604,2.565137801,2.579026728,2.589185956,-2.488736453,0.442154418,0.508417634,0.535972236,0.050622266,0.00161129,-0.043032028,593900
7,Arctostaphylos uva-ursi,Low shrub,1.3475375,1.43143,1.6460625,7.032875,7.7398,9.54845,3635500,0.298278853,0.358673945,0.498386072,1.950595584,2.046375847,2.256378838,0.415075645,-0.365047045,-0.360902881,-0.275550296,-0.563919951,-0.531039591,-0.375839146,-5071700
8,Arctous alpina,Low shrub,2.5884675,2.59428,2.6020775,18.1525,18.20805,18.282525,15229850,0.951066002,0.953309021,0.956310164,2.898808292,2.901863804,2.905945686,0.540504714,0.287740104,0.233732196,0.182373796,0.384292757,0.324448366,0.273727702,5429900
9,Arctous rubra,Low shrub,2.3269975,2.35196,2.3640525,15.818575,16.06955,16.191125,13592350,0.84457881,0.855249023,0.860377307,2.761184882,2.776926177,2.784463253,0.591621081,0.181252912,0.135672197,0.086440939,0.246669347,0.199510739,0.152245269,3871400
10,Artemisia dracunculus,Tall shrub,1.7664225,2.209325,2.6155125,10.451375,14.3947,18.01125,10767200,0.568956315,0.792687039,0.961460063,2.346733549,2.666860083,2.890996563,0.470114866,-0.094369583,0.073110213,0.187523695,-0.167781986,0.089444645,0.258778579,1415300
11,Artemisia frigida,Tall shrub,1.563515,1.643635,1.71997,8.924175,9.5862,10.217,5318600,0.446936492,0.496910253,0.542306849,2.188763886,2.260324564,2.324053,0.395506533,-0.216389406,-0.222666573,-0.23162952,-0.325751649,-0.317090874,-0.308164984,-2936900
12,Artemisia gmelinii,Tall shrub,3.086215,3.406995,3.87263,13.302975,13.53095,13.861875,1710650,1.126945421,1.225830671,1.353933863,2.587987694,2.604979654,2.629142266,-2.057834471,0.463619523,0.506253845,0.579997494,0.073472159,0.027564216,-0.003075718,529900
13,Betula humilis,Tall shrub,1.205265,1.46368,1.8678175,9.41515,10.4283,12.01275,1817900,0.18669946,0.380953812,0.624770637,2.242320094,2.344523264,2.485968586,-0.350084888,-0.476626438,-0.338623013,-0.149165731,-0.272195441,-0.232892174,-0.146249398,-2066200
14,Betula glandulosa,Tall shrub,1.82834,1.895885,1.93744,11.203,11.72555,12.047,6930850,0.603408451,0.639685748,0.661367514,2.4161816,2.461770222,2.488815666,0.329593945,-0.059917446,-0.079891078,-0.112568854,-0.098333935,-0.115645217,-0.143402318,-48800
15,Betula nana,Low shrub,1.765395,1.917555,2.024725,10.192925,11.70935,12.7774,9144450,0.568374461,0.651050937,0.705433889,2.321693852,2.460387668,2.547677985,0.582859742,-0.094951436,-0.068525889,-0.06850248,-0.192821683,-0.11702777,-0.084539999,285400
16,Cassiope tetragona,Dwarf shrub,3.3952375,3.43259,3.5169175,21.616625,21.8599,22.409025,15840800,1.222373714,1.233315078,1.257584896,3.073462695,3.084653908,3.10946378,0.157301681,0.559047817,0.513738252,0.483648527,0.55894716,0.50723847,0.477245796,9208900
17,Chamaedaphne calyculata,Tall shrub,1.6505325,1.73985,1.81715,8.01125,9.1664,10.166175,9568800,0.501097963,0.553798903,0.59726934,2.080846804,2.215544625,2.319066033,0.843483521,-0.162227935,-0.165777923,-0.176667029,-0.433668731,-0.361870814,-0.313151951,-2767500
