"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","1","Current ranges - SLA variation","b_Intercept",0.17,0.248,-0.314,0.672
"2","  ","  ","b_LogTraitValueSD",-0.062,0.835,-1.698,1.582
"3","  ","  ","sigma",0.848,0.088,0.698,1.041
"4","  ","  ","lprior",-3.221,0.017,-3.259,-3.195
"5","2","Current ranges - Seed variation Berry Sp","b_Intercept",0.659,0.524,-0.373,1.721
"6","  ","  ","b_LogTraitValueSD",-0.15,0.517,-1.187,0.874
"7","  ","  ","sigma",1.12,0.403,0.628,2.087
"8","  ","  ","lprior",-3.301,0.132,-3.623,-3.186
"9","3","Current ranges - Seed variation Wind Sp","b_Intercept",-0.121,0.239,-0.585,0.355
"10","  ","  ","b_LogTraitValueSD",0.057,0.169,-0.279,0.387
"11","  ","  ","sigma",0.75,0.132,0.543,1.061
"12","  ","  ","lprior",-3.206,0.024,-3.265,-3.174
"13","4","Current ranges - Seed variation No Gapfilled","b_Intercept",0.311,0.174,-0.032,0.656
"14","  ","  ","b_LogTraitValueSD",-0.016,0.132,-0.278,0.24
"15","  ","  ","sigma",0.655,0.108,0.48,0.904
"16","  ","  ","lprior",-3.19,0.017,-3.232,-3.167
"17","5","Current ranges - Seed Mass variation","b_Intercept",0.152,0.215,-0.281,0.56
"18","  ","  ","b_LogTraitValueSD",-0.044,0.168,-0.37,0.298
"19","  ","  ","sigma",0.829,0.122,0.632,1.095
"20","  ","  ","lprior",-3.217,0.023,-3.27,-3.184
"21","6","Current ranges - Height variation","b_Intercept",-0.305,0.397,-1.073,0.467
"22","  ","  ","b_LogTraitValueSD",0.695,0.651,-0.583,1.956
"23","  ","  ","sigma",0.857,0.091,0.701,1.062
"24","  ","  ","lprior",-3.225,0.018,-3.268,-3.197
"25","7","Current ranges - all traits variation","b_Intercept",0.126,0.641,-1.141,1.399
"26","  ","  ","b_Hei_var",-0.142,0.881,-1.902,1.588
"27","  ","  ","b_Seed_var",-0.257,0.2,-0.643,0.142
"28","  ","  ","b_SLA_var",1.333,1.285,-1.135,3.867
"29","  ","  ","sigma",0.823,0.115,0.631,1.078
"30","  ","  ","lprior",-3.216,0.021,-3.267,-3.184
"31","8","Current ranges - all traits variation interaction","b_Intercept",-0.442,2.096,-4.622,3.659
"32","  ","  ","b_Hei_var",1.314,3.214,-4.838,7.799
"33","  ","  ","b_Seed_var",-1.636,1.45,-4.465,1.196
"34","  ","  ","b_SLA_var",9.774,7.48,-4.838,24.499
"35","  ","  ","b_Hei_var:Seed_var",1.912,2.165,-2.341,6.258
"36","  ","  ","b_Hei_var:SLA_var",-15.386,11.483,-38.102,7.103
"37","  ","  ","b_Seed_var:SLA_var",0.407,1.064,-1.673,2.466
"38","  ","  ","sigma",0.816,0.122,0.623,1.089
"39","  ","  ","lprior",-3.215,0.023,-3.268,-3.183
"40","9","Current ranges - SLA values","b_Intercept",0.32,0.675,-1.035,1.65
"41","  ","  ","b_LogTraitMedianValue",-0.068,0.274,-0.612,0.485
"42","  ","  ","sigma",0.85,0.087,0.699,1.039
"43","  ","  ","lprior",-3.221,0.016,-3.259,-3.195
"44","10","Current ranges - Seed values No Gapfilled","b_Intercept",0.374,0.159,0.061,0.68
"45","  ","  ","b_LogTraitMedianValue",0.056,0.056,-0.055,0.165
"46","  ","  ","sigma",0.636,0.107,0.466,0.886
"47","  ","  ","lprior",-3.187,0.016,-3.227,-3.165
"48","11","Current ranges - Seed values Berry Sp","b_Intercept",0.571,0.398,-0.24,1.352
"49","  ","  ","b_LogTraitMedianValue",0.02,0.314,-0.61,0.645
"50","  ","  ","sigma",1.116,0.392,0.627,2.164
"51","  ","  ","lprior",-3.298,0.124,-3.64,-3.186
"52","12","Current ranges - Seed values Wind Sp","b_Intercept",-0.078,0.236,-0.549,0.376
"53","  ","  ","b_LogTraitMedianValue",-0.005,0.079,-0.164,0.149
"54","  ","  ","sigma",0.753,0.135,0.538,1.064
"55","  ","  ","lprior",-3.206,0.024,-3.266,-3.173
"56","13","Current ranges - Seed Mass values","b_Intercept",0.201,0.188,-0.161,0.569
"57","  ","  ","b_LogTraitMedianValue",0.055,0.071,-0.084,0.202
"58","  ","  ","sigma",0.819,0.116,0.627,1.087
"59","  ","  ","lprior",-3.215,0.021,-3.269,-3.184
"60","14","Current ranges - Height values","b_Intercept",0.006,0.239,-0.466,0.473
"61","  ","  ","b_LogTraitMedianValue",-0.043,0.099,-0.238,0.149
"62","  ","  ","sigma",0.866,0.094,0.705,1.076
"63","  ","  ","lprior",-3.227,0.018,-3.271,-3.197
"64","15","Current ranges - all traits values","b_Intercept",0.608,1.089,-1.61,2.766
"65","  ","  ","b_SLA_val",-0.23,0.41,-1.03,0.612
"66","  ","  ","b_Hei_val",-0.091,0.119,-0.332,0.141
"67","  ","  ","b_SeedMass_val",0.076,0.074,-0.067,0.223
"68","  ","  ","sigma",0.824,0.118,0.631,1.09
"69","  ","  ","lprior",-3.216,0.022,-3.27,-3.184
"70","16","Current ranges - all traits values interaction","b_Intercept",-0.414,3.006,-6.394,5.366
"71","  ","  ","b_SLA_val",0.225,1.157,-2.038,2.524
"72","  ","  ","b_Hei_val",-0.314,1.17,-2.589,1.958
"73","  ","  ","b_SeedMass_val",-0.439,0.495,-1.411,0.535
"74","  ","  ","b_SLA_val:Hei_val",0.08,0.445,-0.789,0.952
"75","  ","  ","b_SLA_val:SeedMass_val",0.238,0.197,-0.168,0.624
