"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","81","Height values - 25% relative range change","b_Intercept",-0.001,0.095,-0.187,0.185
"2","  ","  ","b_LogTraitMedianValue",-0.002,0.038,-0.075,0.072
"3","  ","  ","sigma",0.343,0.037,0.279,0.426
"4","  ","  ","lprior",-3.154,0.003,-3.161,-3.15
"5","82","Height values - median relative  range change","b_Intercept",-0.002,0.089,-0.178,0.171
"6","  ","  ","b_LogTraitMedianValue",-0.001,0.036,-0.074,0.07
"7","  ","  ","sigma",0.328,0.036,0.266,0.41
"8","  ","  ","lprior",-3.153,0.003,-3.159,-3.149
"9","83","Height values - 75% relative range change","b_Intercept",0,0.086,-0.171,0.17
"10","  ","  ","b_LogTraitMedianValue",0.002,0.035,-0.066,0.07
"11","  ","  ","sigma",0.31,0.032,0.254,0.38
"12","  ","  ","lprior",-3.152,0.002,-3.157,-3.148
"13","84","Median relative range change - all traits values","b_Intercept",-0.186,0.388,-0.97,0.585
"14","  ","  ","b_Hei_val",0.037,0.043,-0.049,0.122
"15","  ","  ","b_SeedMass_val",-0.024,0.027,-0.077,0.029
"16","  ","  ","b_SLA_val",0.092,0.146,-0.196,0.383
"17","  ","  ","sigma",0.3,0.043,0.229,0.399
"18","  ","  ","lprior",-3.151,0.003,-3.159,-3.147
"19","85","Median relative range change - all traits values interaction","b_Intercept",-0.743,1.061,-2.882,1.335
"20","  ","  ","b_Hei_val",-0.083,0.419,-0.91,0.733
"21","  ","  ","b_SeedMass_val",-0.283,0.174,-0.622,0.061
"22","  ","  ","b_SLA_val",0.345,0.41,-0.458,1.161
"23","  ","  ","b_Hei_val:SeedMass_val",-0.012,0.043,-0.096,0.072
"24","  ","  ","b_Hei_val:SLA_val",0.046,0.16,-0.267,0.363
"25","  ","  ","b_SeedMass_val:SLA_val",0.125,0.069,-0.015,0.26
"26","  ","  ","sigma",0.295,0.045,0.222,0.401
"27","  ","  ","lprior",-3.151,0.003,-3.159,-3.147
"28","86","Absolute range gains - SLA variation","b_Intercept",0.087,0.095,-0.096,0.275
"29","  ","  ","b_LogTraitValueSD",0.513,0.297,-0.076,1.079
"30","  ","  ","sigma",0.245,0.035,0.187,0.325
"31","  ","  ","lprior",-3.148,0.002,-3.153,-3.145
"32","87","Absolute range losses - SLA variation","b_Intercept",-0.275,0.108,-0.486,-0.061
"33","  ","  ","b_LogTraitValueSD",0.081,0.413,-0.74,0.891
"34","  ","  ","sigma",0.232,0.038,0.172,0.318
"35","  ","  ","lprior",-3.148,0.002,-3.153,-3.145
"36","88","Absolute range gains - Seed Mass variation","b_Intercept",0.081,0.081,-0.079,0.241
"37","  ","  ","b_LogTraitValueSD",0.107,0.052,0.002,0.21
"38","  ","  ","sigma",0.214,0.052,0.14,0.342
