"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","36","SLA variation - 25% absolute range change","b_Intercept",-0.167,0.109,-0.389,0.049
"2","  ","  ","b_LogTraitValueSD",0.652,0.367,-0.056,1.38
"3","  ","  ","sigma",0.38,0.04,0.313,0.466
"4","  ","  ","lprior",-3.157,0.003,-3.165,-3.152
"5","37","SLA variation - median absolute range change","b_Intercept",-0.157,0.097,-0.346,0.038
"6","  ","  ","b_LogTraitValueSD",0.638,0.326,-0.004,1.275
"7","  ","  ","sigma",0.333,0.033,0.275,0.405
"8","  ","  ","lprior",-3.153,0.002,-3.159,-3.149
"9","38","SLA variation - 75% absolute range change","b_Intercept",-0.162,0.086,-0.329,0.006
"10","  ","  ","b_LogTraitValueSD",0.677,0.291,0.097,1.254
"11","  ","  ","sigma",0.301,0.031,0.248,0.367
"12","  ","  ","lprior",-3.151,0.002,-3.156,-3.148
"13","39","Height variation - 25% absolute range change","b_Intercept",-0.073,0.186,-0.435,0.281
"14","  ","  ","b_LogTraitValueSD",0.142,0.306,-0.457,0.734
"15","  ","  ","sigma",0.397,0.042,0.325,0.49
"16","  ","  ","lprior",-3.159,0.004,-3.167,-3.153
"17","40","Height variation - median absolute range change","b_Intercept",-0.054,0.163,-0.372,0.262
"18","  ","  ","b_LogTraitValueSD",0.12,0.268,-0.408,0.646
"19","  ","  ","sigma",0.351,0.038,0.287,0.434
"20","  ","  ","lprior",-3.155,0.003,-3.162,-3.15
"21","41","Height variation - 75% absolute range change","b_Intercept",-0.031,0.147,-0.323,0.263
"22","  ","  ","b_LogTraitValueSD",0.084,0.241,-0.393,0.566
"23","  ","  ","sigma",0.32,0.035,0.261,0.396
"24","  ","  ","lprior",-3.154,0.003,-3.16,-3.15
"25","42","Seed Mass variation - 25% absolute range change","b_Intercept",-0.164,0.088,-0.337,0.008
"26","  ","  ","b_LogTraitValueSD",0.136,0.068,0.002,0.269
"27","  ","  ","sigma",0.341,0.048,0.261,0.453
"28","  ","  ","lprior",-3.155,0.004,-3.164,-3.149
"29","43","Seed Mass variation - Median RCh Berry","b_Intercept",-0.007,0.16,-0.321,0.312
"30","  ","  ","b_LogTraitValueSD",-0.004,0.169,-0.338,0.327
"31","  ","  ","sigma",0.341,0.134,0.185,0.667
"32","  ","  ","lprior",-3.157,0.017,-3.195,-3.145
"33","44","Seed Mass variation - Median RCh Wind","b_Intercept",-0.196,0.098,-0.385,0.002
"34","  ","  ","b_LogTraitValueSD",0.157,0.07,0.016,0.29
"35","  ","  ","sigma",0.305,0.055,0.218,0.438
"36","  ","  ","lprior",-3.152,0.004,-3.163,-3.147
"37","45","Seed Mass variation - Median RCh NoGapfill","b_Intercept",-0.129,0.087,-0.303,0.042
"38","  ","  ","b_LogTraitValueSD",0.119,0.066,-0.013,0.249
"39","  ","  ","sigma",0.325,0.054,0.24,0.45
"40","  ","  ","lprior",-3.154,0.004,-3.164,-3.148
"41","46","Seed Mass variation - median absolute range change","b_Intercept",-0.134,0.075,-0.283,0.014
"42","  ","  ","b_LogTraitValueSD",0.117,0.058,0.001,0.231
"43","  ","  ","sigma",0.293,0.043,0.224,0.391
"44","  ","  ","lprior",-3.151,0.003,-3.159,-3.147
"45","47","Seed Mass variation - 75% absolute range change","b_Intercept",-0.114,0.067,-0.245,0.016
"46","  ","  ","b_LogTraitValueSD",0.107,0.052,0.002,0.208
"47","  ","  ","sigma",0.261,0.038,0.2,0.349
"48","  ","  ","lprior",-3.15,0.002,-3.156,-3.146
"49","48","Median absolute range change - all traits variation","b_Intercept",-0.263,0.238,-0.723,0.213
"50","  ","  ","b_Hei_var",0.113,0.328,-0.524,0.763
"51","  ","  ","b_Seed_var",0.134,0.077,-0.016,0.289
"52","  ","  ","b_SLA_var",0.197,0.483,-0.769,1.147
"53","  ","  ","sigma",0.309,0.045,0.237,0.411
"54","  ","  ","lprior",-3.152,0.003,-3.16,-3.147
"55","49","Median absolute range change - all traits variation interaction","b_Intercept",0.18,0.847,-1.545,1.868
"56","  ","  ","b_Hei_var",-0.618,1.29,-3.091,2.008
"57","  ","  ","b_Seed_var",-0.36,0.575,-1.484,0.8
"58","  ","  ","b_SLA_var",0,3.035,-5.908,6.016
"59","  ","  ","b_Hei_var:Seed_var",0.799,0.851,-0.928,2.471
"60","  ","  ","b_Hei_var:SLA_var",0.26,4.662,-8.919,9.371
"61","  ","  ","b_Seed_var:SLA_var",0.157,0.43,-0.683,1.022
"62","  ","  ","sigma",0.322,0.049,0.241,0.431
"63","  ","  ","lprior",-3.153,0.004,-3.162,-3.148
"64","50","SLA variation - 25% relative range change","b_Intercept",-0.161,0.09,-0.338,0.015
"65","  ","  ","b_LogTraitValueSD",0.739,0.302,0.151,1.334
"66","  ","  ","sigma",0.306,0.032,0.252,0.376
"67","  ","  ","lprior",-3.152,0.002,-3.157,-3.148
"68","51","SLA variation - median relative range change","b_Intercept",-0.167,0.084,-0.333,0.001
"69","  ","  ","b_LogTraitValueSD",0.749,0.281,0.204,1.317
"70","  ","  ","sigma",0.291,0.03,0.239,0.358
"71","  ","  ","lprior",-3.151,0.002,-3.155,-3.147
"72","52","SLA variation - 75% relative range change","b_Intercept",-0.18,0.082,-0.346,-0.016
"73","  ","  ","b_LogTraitValueSD",0.786,0.279,0.239,1.336
"74","  ","  ","sigma",0.283,0.029,0.233,0.346
"75","  ","  ","lprior",-3.15,0.002,-3.154,-3.147
"76","53","Height variation - 25% relative range change","b_Intercept",-0.174,0.16,-0.491,0.146
"77","  ","  ","b_LogTraitValueSD",0.305,0.261,-0.214,0.824
"78","  ","  ","sigma",0.339,0.038,0.276,0.423
"79","  ","  ","lprior",-3.154,0.003,-3.161,-3.149
"80","54","Height variation - median relative range change","b_Intercept",-0.175,0.147,-0.461,0.121
"81","  ","  ","b_LogTraitValueSD",0.301,0.24,-0.177,0.768
"82","  ","  ","sigma",0.321,0.035,0.264,0.398
"83","  ","  ","lprior",-3.153,0.002,-3.158,-3.149
"84","55","Height variation - 75% relative range change","b_Intercept",-0.155,0.14,-0.425,0.125
"85","  ","  ","b_LogTraitValueSD",0.26,0.23,-0.193,0.715
"86","  ","  ","sigma",0.306,0.033,0.249,0.38
"87","  ","  ","lprior",-3.152,0.002,-3.157,-3.148
"88","56","Seed Mass variation - 25% relative range change","b_Intercept",-0.131,0.076,-0.279,0.023
"89","  ","  ","b_LogTraitValueSD",0.118,0.06,-0.006,0.235
"90","  ","  ","sigma",0.302,0.044,0.23,0.401
"91","  ","  ","lprior",-3.152,0.003,-3.159,-3.147
"92","57","Seed Mass variation - median relative range change","b_Intercept",-0.117,0.072,-0.26,0.03
"93","  ","  ","b_LogTraitValueSD",0.107,0.056,-0.002,0.215
"94","  ","  ","sigma",0.281,0.04,0.215,0.371
"95","  ","  ","lprior",-3.15,0.003,-3.157,-3.146
"96","58","Seed Mass variation - 75% relative range change","b_Intercept",-0.106,0.069,-0.238,0.028
"97","  ","  ","b_LogTraitValueSD",0.1,0.053,-0.004,0.203
"98","  ","  ","sigma",0.268,0.039,0.204,0.357
"99","  ","  ","lprior",-3.149,0.002,-3.155,-3.146
"100","59","Median relative range change - all traits variation","b_Intercept",-0.436,0.214,-0.858,-0.005
"101","  ","  ","b_Hei_var",0.343,0.288,-0.24,0.895
"102","  ","  ","b_Seed_var",0.091,0.068,-0.043,0.224
"103","  ","  ","b_SLA_var",0.56,0.424,-0.254,1.391
"104","  ","  ","sigma",0.271,0.038,0.209,0.357
"105","  ","  ","lprior",-3.149,0.002,-3.155,-3.146
"106","60","Median relative range change - all traits variation interaction","b_Intercept",0.011,0.744,-1.465,1.452
"107","  ","  ","b_Hei_var",-0.403,1.137,-2.624,1.862
"108","  ","  ","b_Seed_var",-0.44,0.497,-1.415,0.538
"109","  ","  ","b_SLA_var",0.496,2.68,-4.729,5.856
"110","  ","  ","b_Hei_var:Seed_var",0.863,0.742,-0.575,2.32
