"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","116","Relative range gains - SLA values","b_Intercept",0.61,0.228,0.164,1.062
"2","  ","  ","b_LogTraitMedianValue",-0.151,0.091,-0.332,0.027
"3","  ","  ","sigma",0.206,0.03,0.157,0.274
"4","117","Relative range losses - SLA values","b_Intercept",-0.226,0.241,-0.709,0.241
"5","  ","  ","b_LogTraitMedianValue",-0.002,0.097,-0.191,0.19
"6","  ","  ","sigma",0.2,0.031,0.151,0.272
"7","118","Relative range gains - Seed Mass values","b_Intercept",0.172,0.078,0.018,0.325
"8","  ","  ","b_LogTraitMedianValue",-0.018,0.024,-0.066,0.029
"9","  ","  ","sigma",0.243,0.058,0.159,0.386
"10","119","Relative range losses - Seed Mass values","b_Intercept",-0.252,0.081,-0.41,-0.084
"11","  ","  ","b_LogTraitMedianValue",-0.026,0.04,-0.107,0.055
"12","  ","  ","sigma",0.196,0.043,0.134,0.3
"13","120","Relative range gains - Height values","b_Intercept",0.195,0.071,0.059,0.34
"14","  ","  ","b_LogTraitMedianValue",-0.017,0.031,-0.075,0.043
"15","  ","  ","sigma",0.216,0.034,0.161,0.296
"16","121","Relative range losses - Height values","b_Intercept",-0.426,0.104,-0.629,-0.216
"17","  ","  ","b_LogTraitMedianValue",-0.073,0.039,-0.151,0.005
"18","  ","  ","sigma",0.205,0.033,0.152,0.278
"19","122","Median relative range gains - all traits values","b_Intercept",0.35,0.492,-0.639,1.313
"20","  ","  ","b_Hei_val",0.014,0.047,-0.079,0.107
"21","  ","  ","b_Seed_val",-0.014,0.026,-0.065,0.036
"22","  ","  ","b_SLA_val",-0.063,0.181,-0.416,0.297
"23","  ","  ","sigma",0.241,0.057,0.159,0.377
"24","123","Median relative range gains - all traits values interaction","b_Intercept",1.467,1.263,-0.989,4.077
"25","  ","  ","b_Hei_val",0.596,0.49,-0.367,1.608
"26","  ","  ","b_Seed_val",-0.105,0.241,-0.572,0.388
"27","  ","  ","b_SLA_val",-0.465,0.48,-1.461,0.451
"28","  ","  ","b_Hei_val:Seed_val",0.024,0.051,-0.076,0.129
"29","  ","  ","b_Seed_val:SLA_val",0.079,0.085,-0.093,0.243
"30","  ","  ","b_Hei_val:SLA_val",-0.225,0.191,-0.618,0.153
"31","  ","  ","sigma",0.246,0.071,0.151,0.431
"32","124","Median relative range losses - all traits values","b_Intercept",-0.469,0.346,-1.154,0.218
"33","  ","  ","b_Hei_val",-0.023,0.056,-0.128,0.089
"34","  ","  ","b_Seed_val",-0.018,0.043,-0.101,0.066
"35","  ","  ","b_SLA_val",0.07,0.138,-0.204,0.347
"36","  ","  ","sigma",0.208,0.046,0.14,0.32
"37","125","Median relative range losses - all traits values interaction","b_Intercept",-4.442,1.897,-8.348,-0.715
"38","  ","  ","b_Hei_val",-1.769,0.848,-3.503,-0.123
"39","  ","  ","b_Seed_val",0.182,0.236,-0.282,0.651
"40","  ","  ","b_SLA_val",1.555,0.742,0.053,3.07
"41","  ","  ","b_Hei_val:Seed_val",-0.096,0.102,-0.3,0.104
"42","  ","  ","b_Seed_val:SLA_val",-0.164,0.119,-0.404,0.071
"43","  ","  ","b_Hei_val:SLA_val",0.641,0.3,0.062,1.27
"44","  ","  ","sigma",0.192,0.046,0.124,0.302
"45","126","Absolute range changes - functional group","b_Intercept",-0.065,0.065,-0.193,0.063
"46","  ","  ","b_gfLowshrub",0.11,0.156,-0.2,0.417
"47","  ","  ","b_gfTallshrub",0.045,0.089,-0.128,0.221
"48","  ","  ","sigma",0.244,0.033,0.19,0.317
"49","127","Absolute range changes - dispersal","b_Intercept",-0.002,0.076,-0.153,0.146
